Zustand Uhrzeit: 10:00:00: STR 30 | EIN 0 | BAU 0 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:04:06: STR 29 | EIN 1 | BAU 0 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:04:07: STR 29 | EIN 0 | BAU 1 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:04:27: STR 29 | EIN 0 | BAU 0 | PAR 1 [STA 29] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:05:39: STR 29 | EIN 0 | BAU 0 | PAR 0 [STA 29] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:05:42: STR 28 | EIN 1 | BAU 0 | PAR 0 [STA 29] | AUS 1 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:05:52: STR 28 | EIN 1 | BAU 0 | PAR 0 [STA 29] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:05:53: STR 28 | EIN 1 | BAU 1 | PAR 0 [STA 29] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:06:13: STR 28 | EIN 1 | BAU 0 | PAR 0 [STA 29] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:06:23: STR 28 | EIN 1 | BAU 0 | PAR 0 [STA 29] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:06:24: STR 28 | EIN 0 | BAU 1 | PAR 0 [STA 29] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
