Zustand Uhrzeit: 10:00:00: STR 30 | EIN 0 | BAU 0 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:01:09: STR 29 | EIN 1 | BAU 0 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:01:10: STR 29 | EIN 0 | BAU 1 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:01:30: STR 29 | EIN 0 | BAU 0 | PAR 1 [STA 29] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:04:10: STR 29 | EIN 0 | BAU 0 | PAR 0 [STA 29] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:09:52: STR 28 | EIN 1 | BAU 0 | PAR 0 [STA 29] | AUS 1 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:10:02: STR 28 | EIN 1 | BAU 0 | PAR 0 [STA 29] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:10:03: STR 28 | EIN 1 | BAU 1 | PAR 0 [STA 29] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:10:23: STR 28 | EIN 1 | BAU 0 | PAR 0 [STA 29] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:10:33: STR 28 | EIN 1 | BAU 0 | PAR 0 [STA 29] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:10:34: STR 28 | EIN 0 | BAU 1 | PAR 0 [STA 29] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:10:54: STR 28 | EIN 0 | BAU 0 | PAR 1 [STA 28] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:11:28: STR 27 | EIN 1 | BAU 0 | PAR 1 [STA 28] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:11:29: STR 27 | EIN 0 | BAU 1 | PAR 1 [STA 28] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:11:30: STR 26 | EIN 1 | BAU 1 | PAR 1 [STA 28] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:11:31: STR 26 | EIN 0 | BAU 2 | PAR 1 [STA 28] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:11:41: STR 25 | EIN 1 | BAU 2 | PAR 1 [STA 28] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:11:44: STR 24 | EIN 2 | BAU 2 | PAR 1 [STA 28] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:11:49: STR 24 | EIN 2 | BAU 1 | PAR 2 [STA 27] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:11:51: STR 24 | EIN 2 | BAU 0 | PAR 3 [STA 26] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:11:52: STR 24 | EIN 1 | BAU 1 | PAR 3 [STA 26] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:11:53: STR 24 | EIN 0 | BAU 2 | PAR 3 [STA 26] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:12:12: STR 24 | EIN 0 | BAU 1 | PAR 4 [STA 25] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:12:13: STR 24 | EIN 0 | BAU 0 | PAR 5 [STA 24] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:15:11: STR 24 | EIN 0 | BAU 0 | PAR 4 [STA 24] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:19:14: STR 23 | EIN 1 | BAU 0 | PAR 4 [STA 24] | AUS 1 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:19:24: STR 23 | EIN 1 | BAU 0 | PAR 4 [STA 24] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:19:25: STR 23 | EIN 1 | BAU 1 | PAR 4 [STA 24] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:19:45: STR 23 | EIN 1 | BAU 0 | PAR 4 [STA 24] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:19:55: STR 23 | EIN 1 | BAU 0 | PAR 4 [STA 24] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:19:56: STR 23 | EIN 0 | BAU 1 | PAR 4 [STA 24] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:20:16: STR 23 | EIN 0 | BAU 0 | PAR 5 [STA 23] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:25:30: STR 22 | EIN 1 | BAU 0 | PAR 5 [STA 23] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:25:31: STR 22 | EIN 0 | BAU 1 | PAR 5 [STA 23] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:25:51: STR 22 | EIN 0 | BAU 0 | PAR 6 [STA 22] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:26:20: STR 21 | EIN 1 | BAU 0 | PAR 6 [STA 22] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:26:21: STR 21 | EIN 0 | BAU 1 | PAR 6 [STA 22] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:26:41: STR 21 | EIN 0 | BAU 0 | PAR 7 [STA 21] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:27:02: STR 20 | EIN 1 | BAU 0 | PAR 7 [STA 21] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:27:03: STR 20 | EIN 0 | BAU 1 | PAR 7 [STA 21] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:27:23: STR 20 | EIN 0 | BAU 0 | PAR 8 [STA 20] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:28:43: STR 19 | EIN 1 | BAU 0 | PAR 8 [STA 20] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:28:44: STR 19 | EIN 0 | BAU 1 | PAR 8 [STA 20] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:29:04: STR 19 | EIN 0 | BAU 0 | PAR 9 [STA 19] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:29:52: STR 18 | EIN 1 | BAU 0 | PAR 9 [STA 19] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:29:53: STR 18 | EIN 0 | BAU 1 | PAR 9 [STA 19] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:30:13: STR 18 | EIN 0 | BAU 0 | PAR 10 [STA 18] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:32:59: STR 18 | EIN 0 | BAU 0 | PAR 9 [STA 18] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:31:16: STR 18 | EIN 0 | BAU 0 | PAR 8 [STA 18] | AUS 2 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:31:26: STR 18 | EIN 0 | BAU 0 | PAR 8 [STA 18] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:31:27: STR 18 | EIN 0 | BAU 1 | PAR 8 [STA 18] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:31:28: STR 18 | EIN 0 | BAU 2 | PAR 8 [STA 18] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:31:47: STR 18 | EIN 0 | BAU 1 | PAR 8 [STA 18] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:31:48: STR 18 | EIN 0 | BAU 0 | PAR 8 [STA 18] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:36:00: STR 17 | EIN 1 | BAU 0 | PAR 8 [STA 18] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:38:05: STR 16 | EIN 2 | BAU 0 | PAR 8 [STA 18] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:38:15: STR 16 | EIN 2 | BAU 0 | PAR 8 [STA 18] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:38:16: STR 16 | EIN 1 | BAU 1 | PAR 8 [STA 18] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:38:17: STR 16 | EIN 0 | BAU 2 | PAR 8 [STA 18] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:38:36: STR 16 | EIN 0 | BAU 1 | PAR 9 [STA 17] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:38:37: STR 16 | EIN 0 | BAU 0 | PAR 10 [STA 16] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
